country,posicion,segmento,nivel,score,freq_top10,rank_p10,rank_p90,cuota_2019,y19,y24,crec_abs,cagr_proy,crec_reciente,alerta_optimismo,grupo_serie
Rwanda,39,Nicho plano,Bajo,17.30392156862745,0.0,35.0,42.0,2.0007589278765222e-05,0.06,0.06,0.0,0.0,0.0,False,plana
Trinidad y Tobago,40,Nicho plano,Bajo,17.30392156862745,0.0,33.0,43.0,0.0002000758927876522,0.6,0.6,0.0,0.0,0.0,False,plana
Gabon,41,Pequeños volátiles,Bajo,15.792220113851993,0.0,28.0,50.0,1.0003794639382611e-05,0.03,0.02392465024143409,-0.006075349758565909,-0.044248763518615175,2.220446049250313e-16,False,dinámica
Central African Republic,42,Emergentes de alto crecimiento,Bajo,13.945287792536371,0.0,32.0,49.0,0.0004001517855753044,1.2,1.1452728799632288,-0.05472712003677116,-0.00929228242772695,0.0,False,dinámica
Panama,43,Maduros estancados,Bajo,13.872549019607844,0.0,39.0,44.0,0.0013405084816772697,4.02,4.02,0.0,0.0,-1.1102230246251565e-16,False,plana
Nigeria,44,Maduros estancados,Bajo,13.872549019607844,0.0,38.0,45.0,0.0008003035711506088,2.4,2.4,0.0,0.0,-1.1102230246251565e-16,False,plana
Guinea,45,Maduros estancados,Bajo,13.137254901960786,0.0,40.0,46.0,0.001000379463938261,3.0,3.0,0.0,0.0,-2.220446049250313e-16,False,plana
Peru,46,Maduros estancados,Bajo,12.401960784313726,0.0,43.0,47.0,0.0050018973196913055,15.0,15.0,0.0,0.0,-3.3306690738754696e-16,False,plana
Côte d'Ivoire,47,Maduros estancados,Bajo,12.401960784313726,0.0,42.0,48.0,0.006342405801368575,19.02,19.02,0.0,0.0,-3.3306690738754696e-16,False,plana
RD Congo,48,Maduros estancados,Bajo,11.666666666666666,0.0,44.0,49.0,0.0039615026771955145,11.88,11.88,0.0,0.0,-0.0020080483385743753,False,plana
Venezuela,49,En retroceso,Bajo,9.506641366223908,0.0,27.0,50.0,0.025509676330425658,76.5,48.768678946208546,-27.731321053791454,-0.08610582068075423,-0.05617815820375083,False,dinámica
Ecuador,50,Maduros estancados,Bajo,9.215686274509805,0.0,45.0,50.0,0.002981130802536018,8.94,8.94,0.0,0.0,-0.007864672543747897,False,plana
Yemen,51,En retroceso,Bajo,2.172675521821632,0.0,51.0,51.0,0.0012804857138409742,3.84,2.3399984014547814,-1.5000015985452184,-0.09431564173197604,-0.1481016788177576,False,dinámica
