model,WAPE,WAPE_sin_Brasil,sMAPE_mediano,MASE_mediano,rank_promedio
hybrid,0.046861526250691926,0.05521731419134349,0.019971063746990737,0.4122269371012253,1.25
drift,0.04543852188698188,0.06248533849795772,0.050997267573087354,1.111836747144143,3.25
ensemble,0.049356629394826684,0.05969390057677769,0.04719479652049601,1.1682026031938997,3.5
ets_damped,0.06331797729940476,0.08260919065741329,0.03960577333309402,0.7990026661038053,4.0
naive,0.07662456030364148,0.09238798211058857,0.02223527527099912,0.41775674923462386,4.0
arima_110,0.06257299193337264,0.07237440514163962,0.0641482986480939,1.5403890684164019,5.0
